ENS ID,Transcript length (including UTRs and CDS),Chromosome,HGNC symbol
ENSG00000116786,4.134,1,PLEKHM2
ENSG00000238186,0.546,1,
ENSG00000164002,1.892,1,EXO5
ENSG00000237938,0.684,1,
ENSG00000142609,3.476,1,CFAP74
ENSG00000227278,0.432,1,
ENSG00000214141,1.892,1,ACTN4P2
ENSG00000225506,0.921,1,CYP4A22-AS1
ENSG00000225514,0.671,1,MTND1P34
ENSG00000224805,0.661,1,LINC00853
ENSG00000162365,1.523,1,CYP4A22
ENSG00000126107,2.385,1,HECTD3
ENSG00000126088,2.138,1,UROD
ENSG00000186160,2.162,1,CYP4Z1
ENSG00000225154,1.202,1,
ENSG00000162458,0.611,1,FBLIM1
ENSG00000227416,0.429,1,
ENSG00000233728,0.7,1,
ENSG00000185090,2.685,1,MANEAL
ENSG00000120656,0.844,1,TAF12
ENSG00000188060,1.95,1,RAB42
ENSG00000224333,1.007,1,GAPDHP20
ENSG00000270850,0.341,1,
ENSG00000229259,1.801,1,LRRC37A12P
ENSG00000254553,3.447,1,
ENSG00000273274,12.831,1,ZBTB8B
ENSG00000176261,0.312,1,ZBTB8OS
ENSG00000229388,0.624,1,LINC01715
ENSG00000160062,7.077,1,ZBTB8A
ENSG00000270103,0.131,1,
ENSG00000197982,2.229,1,C1orf122
ENSG00000196449,1.848,1,YRDC
ENSG00000116205,2.668,1,TCEANC2
ENSG00000225183,0.238,1,
ENSG00000236073,0.115,1,
ENSG00000075151,5.802,1,EIF4G3
ENSG00000162366,0.689,1,PDZK1IP1
ENSG00000228750,1.686,1,LINC01672
ENSG00000284744,0.987,1,
ENSG00000237436,0.415,1,CAMTA1-DT
ENSG00000235673,0.691,1,
ENSG00000188786,7.937,1,MTF1
ENSG00000162419,6.41,1,GMEB1
ENSG00000121753,4.879,1,ADGRB2
ENSG00000198492,0.864,1,YTHDF2
ENSG00000157211,1.623,1,CDCP2
ENSG00000157216,2.913,1,SSBP3
ENSG00000233427,1.085,1,
ENSG00000116329,9.317,1,OPRD1
ENSG00000226252,4.036,1,
ENSG00000162367,4.642,1,TAL1
ENSG00000230955,0.481,1,
ENSG00000204084,3.905,1,INPP5B
ENSG00000225632,1.111,1,
ENSG00000198711,2.624,1,SSBP3-AS1
ENSG00000215883,5.777,1,CYB5RL
ENSG00000256407,2.542,1,
ENSG00000280425,4.969,1,
ENSG00000116221,0.747,1,MRPL37
ENSG00000235112,0.296,1,HSPE1P27
ENSG00000233072,0.385,1,RPS15AP6
ENSG00000269978,0.267,1,
ENSG00000237728,0.433,1,
ENSG00000171735,8.314,1,CAMTA1
ENSG00000225126,0.361,1,
ENSG00000270035,0.57,1,
ENSG00000270171,1.721,1,
ENSG00000227950,0.286,1,
ENSG00000237402,0.365,1,CAMTA1-IT1
ENSG00000237365,0.349,1,
ENSG00000123473,5.225,1,STIL
ENSG00000231105,2.479,1,
ENSG00000236936,0.723,1,
ENSG00000117298,5.099,1,ECE1
ENSG00000281870,0.574,1,
ENSG00000280892,0.792,1,
ENSG00000281104,0.481,1,
ENSG00000281274,0.514,1,
ENSG00000281225,0.455,1,
ENSG00000276429,5.45,1,PLCH2
ENSG00000273494,2.649,1,PANK4
ENSG00000273529,1.306,1,HES5
ENSG00000281734,0.996,1,
ENSG00000273936,0.66,1,TNFRSF14
ENSG00000281197,1.629,1,TNFRSF14-AS1
ENSG00000280609,1.297,1,
ENSG00000281740,0.627,1,
ENSG00000280645,0.373,1,
ENSG00000275125,0.84,1,PRXL2B
ENSG00000275571,3.737,1,TTC34
ENSG00000277131,0.552,1,MMEL1
ENSG00000280906,0.754,1,
ENSG00000280708,0.375,1,
ENSG00000281416,0.546,1,
ENSG00000275974,0.66,1,PPIAL4F
ENSG00000280579,0.534,1,
ENSG00000280460,0.415,1,
ENSG00000275617,1.047,1,OR2T4
ENSG00000278659,0.927,1,OR2T6
ENSG00000273508,1.11,1,OR2T1
ENSG00000281489,0.927,1,OR2T7
ENSG00000275754,0.975,1,OR2T2
ENSG00000277113,0.957,1,OR2T3
ENSG00000281658,0.967,1,
ENSG00000275102,0.948,1,OR2T5
ENSG00000280815,0.321,1,OR2AS2P
ENSG00000173960,2.195,2,UBXN2A
ENSG00000278908,2.134,2,
ENSG00000079785,2.817,2,DDX1
ENSG00000205795,2.738,2,CYS1
ENSG00000162949,2.328,2,CAPN13
ENSG00000234946,0.506,2,SDHCP3
ENSG00000233502,0.312,2,
ENSG00000228541,0.424,2,
ENSG00000233702,0.279,2,
ENSG00000186889,1.654,2,TMEM17
ENSG00000230118,0.258,2,
ENSG00000229503,0.477,2,
ENSG00000232144,0.972,2,PSAT1P2
ENSG00000230595,0.366,2,RSL24D1P2
ENSG00000226622,0.573,2,
ENSG00000205111,0.724,2,CDKL4
ENSG00000285984,0.805,2,
ENSG00000285519,0.562,2,
ENSG00000231334,0.397,2,
ENSG00000214595,0.462,2,EML6
ENSG00000205639,1.528,2,MFSD2B
ENSG00000119782,1.01,2,FKBP1B
ENSG00000163026,3.848,2,WDCP
ENSG00000224194,0.568,2,
ENSG00000231031,1.871,2,LINC01804
ENSG00000237326,0.487,2,
ENSG00000214657,0.305,2,
ENSG00000115504,4.108,2,EHBP1
ENSG00000134323,2.613,2,MYCN
ENSG00000233718,0.531,2,MYCNOS
ENSG00000115128,0.651,2,SF3B6
ENSG00000223850,1.039,2,MYCNUT
ENSG00000231609,0.738,2,
ENSG00000226605,0.251,2,
ENSG00000237162,0.367,2,
ENSG00000186453,0.809,2,FAM228A
ENSG00000152527,6.994,2,PLEKHH2
ENSG00000115129,1.635,2,TP53I3
ENSG00000236989,0.642,2,
ENSG00000236289,1.358,2,GACAT3
ENSG00000226764,0.516,2,
ENSG00000223754,0.543,2,
ENSG00000232642,0.792,2,
ENSG00000176732,0.974,2,PFN4
ENSG00000276087,2.281,2,
ENSG00000219626,2.495,2,FAM228B
ENSG00000223658,1.279,2,C1GALT1C1L
ENSG00000229695,1.158,2,
ENSG00000234579,0.368,2,
ENSG00000158089,2.169,2,GALNT14
ENSG00000115204,0.624,2,MPV17
ENSG00000231312,1.438,2,MAP4K3-DT
ENSG00000011566,4.335,2,MAP4K3
ENSG00000271315,0.144,2,
ENSG00000226041,0.637,2,
ENSG00000152154,0.569,2,TMEM178A
ENSG00000273035,0.477,2,
ENSG00000228876,1.71,2,
ENSG00000285354,0.72,2,
ENSG00000232444,0.74,2,
ENSG00000231266,0.415,2,
ENSG00000224400,0.317,2,
ENSG00000115310,1.898,2,RTN4
ENSG00000279663,4.006,2,
ENSG00000197872,4.67,2,FAM49A
ENSG00000237633,0.546,2,
ENSG00000279254,1.909,2,
ENSG00000226548,0.652,2,
ENSG00000239332,0.409,2,LINC01119
ENSG00000222005,1.947,2,LINC01118
ENSG00000171150,4.771,2,SOCS5
ENSG00000214711,3.787,2,CAPN14
ENSG00000273269,0.983,2,
ENSG00000225187,0.86,2,
ENSG00000239605,0.565,2,STPG4
ENSG00000233845,0.504,2,
ENSG00000068724,3.033,2,TTC7A
ENSG00000234072,3.06,2,
ENSG00000234945,0.554,2,GTF3C2-AS1
ENSG00000115211,1.792,2,EIF2B4
ENSG00000228925,1.835,2,
ENSG00000272814,0.274,2,
ENSG00000143933,1.21,2,CALM2
ENSG00000115207,3.992,2,GTF3C2
ENSG00000232963,0.273,2,HMGN2P20
ENSG00000198399,2.035,2,ITSN2
ENSG00000180398,4.21,2,MCFD2
ENSG00000115507,2.861,2,OTX1
ENSG00000138036,1.399,2,DYNC2LI1
ENSG00000223536,0.564,2,
ENSG00000224604,0.95,2,
ENSG00000242628,0.24,2,
ENSG00000233747,0.317,2,RPL36AP13
ENSG00000237670,0.201,2,LINC01866
ENSG00000214843,0.604,2,ZFYVE9P2
ENSG00000236348,1.327,2,PSMC1P10
ENSG00000214842,3.724,2,RAD51AP2
ENSG00000013016,4.825,2,EHD3
ENSG00000163032,0.992,2,VSNL1
ENSG00000213620,0.531,2,
ENSG00000158125,5.715,2,XDH
ENSG00000143947,0.705,2,RPS27A
ENSG00000143921,2.011,2,ABCG8
ENSG00000138075,2.74,2,ABCG5
ENSG00000163029,5.24,2,SMC6
ENSG00000227799,1.434,2,
ENSG00000162994,2.052,2,CLHC1
ENSG00000203327,0.916,2,
ENSG00000178295,9.854,2,GEN1
ENSG00000228563,0.646,2,
ENSG00000277893,4.519,2,SRD5A2
ENSG00000270422,0.482,2,
ENSG00000223647,0.418,2,LINC01946
ENSG00000237007,0.846,2,KRT18P52
ENSG00000242272,0.405,2,AK2P2
ENSG00000273165,0.448,2,
ENSG00000271228,0.308,2,
ENSG00000162961,1.519,2,DPY30
ENSG00000162959,4.505,2,MEMO1
ENSG00000084676,0.501,2,NCOA1
ENSG00000115234,2.357,2,SNX17
ENSG00000163795,2.144,2,ZNF513
ENSG00000151379,0.606,2,MSGN1
ENSG00000115380,3.024,2,EFEMP1
ENSG00000170745,2.397,2,KCNS3
ENSG00000138095,6.603,2,LRPPRC
ENSG00000260331,0.819,2,
ENSG00000240857,1.56,2,RDH14
ENSG00000250741,2.142,2,NT5C1B-RDH14
ENSG00000185013,2.678,2,NT5C1B
ENSG00000270437,1.352,2,
ENSG00000232403,0.312,2,
ENSG00000242412,1.692,2,DBIL5P2
ENSG00000271894,2.289,2,
ENSG00000233251,3.075,2,
ENSG00000272180,1.275,2,
ENSG00000226702,0.9,2,MIR217HG
ENSG00000055813,4.114,2,CCDC85A
ENSG00000229805,0.712,2,LINC01813
ENSG00000231570,0.264,2,PPIAP63
ENSG00000271115,0.987,2,
ENSG00000285755,1.977,2,
ENSG00000270569,0.379,2,
ENSG00000014641,0.893,2,MDH1
ENSG00000271615,0.859,2,ACTG1P22
ENSG00000143951,2.122,2,WDPCP
ENSG00000234488,0.406,2,
ENSG00000233716,1.125,2,
ENSG00000229221,0.934,2,HNRNPA1P66
ENSG00000279485,1.377,2,
ENSG00000228872,0.778,2,
ENSG00000229920,1.334,2,RPS4XP5
ENSG00000228305,0.654,2,
ENSG00000171848,3.431,2,RRM2
ENSG00000085760,2.386,2,MTIF2
ENSG00000115241,2.21,2,PPM1G
ENSG00000213453,0.584,2,FTH1P3
ENSG00000184924,1.105,2,PTRHD1
ENSG00000138092,0.459,2,CENPO
ENSG00000138031,5.05,2,ADCY3
ENSG00000138050,3.148,2,THUMPD2
ENSG00000271936,1.108,2,
ENSG00000021574,5.277,2,SPAST
ENSG00000285872,1.871,2,
ENSG00000115392,1.576,2,FANCL
ENSG00000115216,2.887,2,NRBP1
ENSG00000273063,0.338,2,
ENSG00000028116,2.657,2,VRK2
ENSG00000115756,0.586,2,HPCAL1
ENSG00000240401,0.64,2,
ENSG00000162997,2.154,2,PRORSD1P
ENSG00000115355,9.505,2,CCDC88A
ENSG00000226087,0.561,2,
ENSG00000236824,0.2,2,BCYRN1
ENSG00000234690,0.577,2,EPCAM-DT
ENSG00000227028,0.137,2,SLC8A1-AS1
ENSG00000183023,20.987,2,SLC8A1
ENSG00000115758,2.476,2,ODC1
ENSG00000235653,0.889,2,
ENSG00000285898,2.467,2,
ENSG00000224626,0.368,2,
ENSG00000236204,1.949,2,LINC01376
ENSG00000219391,0.261,2,
ENSG00000224637,0.678,2,PDSS1P2
ENSG00000143867,1.906,2,OSR1
ENSG00000138032,2.084,2,PPM1B
ENSG00000119888,1.53,2,EPCAM
ENSG00000226972,0.486,2,RPL12P19
ENSG00000285542,3.333,2,
ENSG00000138079,2.989,2,SLC3A1
ENSG00000257135,4.242,2,ODC1-DT
ENSG00000234597,1.709,2,
ENSG00000237992,0.837,2,LINC01808
ENSG00000272716,0.712,2,
ENSG00000138078,5.657,2,PREPL
ENSG00000235911,0.443,2,
ENSG00000213403,0.327,2,CISD1P1
ENSG00000228784,2.239,2,LINC00954
ENSG00000183891,0.735,2,TTC32
ENSG00000271991,0.545,2,
ENSG00000115137,4.992,2,DNAJC27
ENSG00000224165,0.46,2,DNAJC27-AS1
ENSG00000169764,2.136,2,UGP2
ENSG00000237953,0.267,2,
ENSG00000273106,1.235,2,
ENSG00000234818,0.565,2,
ENSG00000115761,3.333,2,NOL10
ENSG00000229816,2.4,2,DDX50P1
ENSG00000152683,0.573,2,SLC30A6
ENSG00000118965,6.918,2,WDR35
ENSG00000233128,0.549,2,LINC01794
ENSG00000235760,0.899,2,
ENSG00000095002,3.307,2,MSH2
ENSG00000138002,5.395,2,IFT172
ENSG00000237442,0.53,2,HNRNPA1P57
ENSG00000236090,1.008,2,LDHAP3
ENSG00000236533,0.399,2,
ENSG00000214691,1.715,2,LINC01913
ENSG00000234362,0.64,2,LINC01914
ENSG00000205086,3.721,2,C2orf91
ENSG00000227210,0.541,2,
ENSG00000132031,2.557,2,MATN3
ENSG00000157992,0.872,2,KRTCAP3
ENSG00000226398,0.346,2,
ENSG00000162878,2.49,2,PKDCC
ENSG00000235267,0.397,2,
ENSG00000068697,1.365,2,LAPTM4A
ENSG00000223734,0.573,2,
ENSG00000234378,0.746,2,
ENSG00000213729,0.44,2,
ENSG00000091106,3.362,2,NLRC4
ENSG00000243819,1.756,2,RN7SL832P
ENSG00000236162,0.568,2,
ENSG00000115884,3.165,2,SDC1
ENSG00000119820,11.955,2,YIPF4
ENSG00000143870,2.338,2,PDIA6
ENSG00000272754,1.365,2,
ENSG00000235411,1.155,2,
ENSG00000184261,6.227,2,KCNK12
ENSG00000279897,0.83,2,BIRC6-AS2
ENSG00000276517,3.004,2,
ENSG00000230046,0.697,2,BIRC6-AS1
ENSG00000279544,3.109,2,
ENSG00000276334,1.621,2,
ENSG00000115760,15.703,2,BIRC6
ENSG00000143882,1.147,2,ATP6V1C2
ENSG00000224875,0.657,2,
ENSG00000143924,5.546,2,EML4
ENSG00000272275,0.393,2,
ENSG00000274159,0.366,2,
ENSG00000233426,1.086,2,EIF3FP3
ENSG00000225226,0.813,2,LINC01795
ENSG00000230979,0.531,2,
ENSG00000285611,1.233,2,
ENSG00000231815,1.109,2,
